"Subject" "Activity" "V1" "TimeBodyAccMeanX" "TimeBodyAccMeanY" "TimeBodyAccMeanZ" "TimeBodyAccStdX" "TimeBodyAccStdY" "TimeBodyAccStdZ" "TimeGravityAccMeanX" "TimeGravityAccMeanY" "TimeGravityAccMeanZ" "TimeGravityAccStdX" "TimeGravityAccStdY" "TimeGravityAccStdZ" "TimeBodyAccJerkMeanX" "TimeBodyAccJerkMeanY" "TimeBodyAccJerkMeanZ" "TimeBodyAccJerkStdX" "TimeBodyAccJerkStdY" "TimeBodyAccJerkStdZ" "TimeBodyGyroMeanX" "TimeBodyGyroMeanY" "TimeBodyGyroMeanZ" "TimeBodyGyroStdX" "TimeBodyGyroStdY" "TimeBodyGyroStdZ" "TimeBodyGyroJerkMeanX" "TimeBodyGyroJerkMeanY" "TimeBodyGyroJerkMeanZ" "TimeBodyGyroJerkStdX" "TimeBodyGyroJerkStdY" "TimeBodyGyroJerkStdZ" "TimeBodyAccMagMean" "TimeBodyAccMagStd" "TimeGravityAccMagMean" "TimeGravityAccMagStd" "TimeBodyAccJerkMagMean" "TimeBodyAccJerkMagStd" "TimeBodyGyroMagMean" "TimeBodyGyroMagStd" "TimeBodyGyroJerkMagMean" "TimeBodyGyroJerkMagStd" "FrequencyBodyAccMeanX" "FrequencyBodyAccMeanY" "FrequencyBodyAccMeanZ" "FrequencyBodyAccStdX" "FrequencyBodyAccStdY" "FrequencyBodyAccStdZ" "FrequencyBodyAccJerkMeanX" "FrequencyBodyAccJerkMeanY" "FrequencyBodyAccJerkMeanZ" "FrequencyBodyAccJerkStdX" "FrequencyBodyAccJerkStdY" "FrequencyBodyAccJerkStdZ" "FrequencyBodyGyroMeanX" "FrequencyBodyGyroMeanY" "FrequencyBodyGyroMeanZ" "FrequencyBodyGyroStdX" "FrequencyBodyGyroStdY" "FrequencyBodyGyroStdZ" "FrequencyBodyAccMagMean" "FrequencyBodyAccMagStd" "FrequencyBodyAccJerkMagMean" "FrequencyBodyAccJerkMagStd" "FrequencyBodyGyroMagMean" "FrequencyBodyGyroMagStd" "FrequencyBodyGyroJerkMagMean" "FrequencyBodyGyroJerkMagStd"
"1" 1 "WALKING" 1 0.27344241621902 -0.0181698325840922 -0.114118357700288 -0.654523702743804 -0.491829925619597 -0.631953672500288 0.695302010144092 -0.124846303042778 0.142501802176945 -0.965590234582133 -0.958414404899135 -0.942423001195965 0.0781286531491931 0.0062925058572536 -0.00156666070048991 -0.612066850470893 -0.551775559450144 -0.772566408962536 -0.0500750607123919 -0.0600183556567723 0.0878224110063401 -0.739020184583285 -0.753711137233429 -0.673575592676081 -0.0891578061855908 -0.0432216735628242 -0.0549969557907781 -0.709646244466859 -0.809315360466859 -0.71321676275072 -0.587399281278386 -0.601141655689914 -0.587399281278386 -0.601141655689914 -0.637570390840058 -0.571229597468011 -0.653559150108732 -0.710088151383285 -0.776441607060519 -0.770655832634006 -0.626360342685014 -0.496692193583026 -0.670902182223919 -0.667126076157349 -0.522757078673775 -0.640813625418444 -0.615393562553026 -0.566539506029971 -0.749329368853026 -0.644872918974928 -0.567347369883285 -0.794825445590778 -0.676007830798559 -0.753756348697406 -0.645068886010375 -0.760121903674352 -0.756991087550432 -0.716198218677233 -0.570057126823343 -0.683178566438329 -0.569004793767147 -0.577131431637464 -0.729889065351585 -0.749159197988473 -0.780708572233429 -0.774400844798271
"2" 2 "STANDING" 5 0.274439828923179 -0.0168061732541523 -0.108668255487417 -0.517939944937517 -0.465126715839503 -0.634719495932119 0.590246065364238 0.0505410507205298 0.23919816586394 -0.956432993410596 -0.956837161467219 -0.937237466062914 0.0793191548920861 0.0154943686960927 -0.00767921245559603 -0.559525096664901 -0.536229243564901 -0.745548141622517 -0.00699415614847682 -0.0961055865854305 0.0805087108384106 -0.681913702451325 -0.770636044238411 -0.635364233254967 -0.109868892571556 -0.0385472333886755 -0.0584891977849669 -0.693487711205298 -0.850930379437086 -0.727123218910596 -0.475037336590464 -0.573890421235828 -0.475037336590464 -0.573890421235828 -0.586202044321192 -0.565881204712285 -0.618680213623841 -0.662346578336755 -0.782321564768212 -0.817256608642384 -0.569999157030132 -0.482544927861589 -0.668417139400662 -0.499650329749007 -0.491028501819868 -0.646044020375828 -0.580048704145364 -0.550916920286424 -0.723576470695364 -0.578026718984934 -0.552928765595338 -0.766555499900662 -0.621859269860927 -0.778103932980132 -0.623321988483444 -0.702132123956954 -0.768668910993378 -0.673701321215232 -0.550059296284768 -0.656710380535762 -0.560945526478808 -0.576358241674172 -0.714939775066225 -0.687359492486755 -0.820844185463576 -0.827257551125828
"3" 3 "WALKING" 1 0.271626270513196 -0.0161167765256129 -0.107851619152493 -0.62767736486217 -0.543259041324311 -0.727693682697947 0.620749479530792 0.113594748781363 0.205120833540176 -0.957637517243402 -0.947210837662757 -0.946271592639296 0.0808702401592375 0.00534947733572727 -0.00641136503765396 -0.655234240829355 -0.613529039414956 -0.851036124545455 -0.0268880676766569 -0.0833980374891496 0.0976893045133138 -0.721531982692082 -0.805920909032258 -0.746504230791789 -0.107329442050147 -0.0389606285442815 -0.0586899950197067 -0.740356313636364 -0.906437129178886 -0.765911950577713 -0.589542861433724 -0.630034273797654 -0.589542861433724 -0.630034273797654 -0.678233748852287 -0.669649819615836 -0.676437375922581 -0.723048737956012 -0.829795734662757 -0.852034763049853 -0.65004130414956 -0.55823424 -0.769176461612903 -0.620386062895455 -0.566143658288592 -0.72759917228739 -0.673979304305865 -0.629942411530088 -0.83398502771261 -0.667344395722287 -0.622572180977419 -0.867034203255132 -0.665506240981232 -0.837860779178886 -0.711978170428152 -0.740660751064516 -0.79119963111437 -0.784294959002933 -0.625326011037537 -0.692552331186803 -0.658208340484164 -0.687610522530792 -0.759799509093842 -0.747441981671554 -0.847259185865103 -0.869558651085044
"4" 4 "STANDING" 5 0.275881275694006 -0.0185701101782019 -0.108733712408233 -0.674452098850789 -0.598612502046372 -0.515720222329969 0.621934836340694 0.0413085594731861 0.100454602518612 -0.966528733943218 -0.964558264416404 -0.937610607570978 0.0787240949343533 0.0156900788725394 -0.0076273369519306 -0.65403156585205 -0.655971014670347 -0.637799632114543 -0.03141150416653 -0.0806254573395899 0.0840882614307571 -0.785031524479495 -0.533562558173502 -0.663831368294322 -0.0945531041223975 -0.0426414560911672 -0.061400535921388 -0.756400977570978 -0.566314657386435 -0.764599481104101 -0.595106224288013 -0.615607595992681 -0.595106224288013 -0.615607595992681 -0.629680822135016 -0.601017445726498 -0.59169340900511 -0.567168778606309 -0.648421829714511 -0.587875366476467 -0.650575409570032 -0.606192756870662 -0.548206633687697 -0.685594575528391 -0.621224448559811 -0.538461685235016 -0.665577338416404 -0.667972856148896 -0.620426094825237 -0.674095702248896 -0.667899334781073 -0.655604339019874 -0.723025606526814 -0.537535909807256 -0.665218261417035 -0.805673666473186 -0.536702320110095 -0.695287990028391 -0.581413064015457 -0.698135799209148 -0.589521101470663 -0.619292963808517 -0.56246528423123 -0.65072972683817 -0.604625145114826 -0.597666060984858
"5" 5 "WALKING" 1 0.27348946760596 -0.0209144762946258 -0.103507622482119 -0.565236954062914 -0.571634478308609 -0.523443904442252 0.641336113708609 0.0143172936461589 -0.00776423557208609 -0.962350458311258 -0.944862576324503 -0.924293394410596 0.0830503338433775 0.00606267666539735 0.00226990015096027 -0.583541177671192 -0.670808880778146 -0.727747495483444 -0.0689784846635762 -0.0638055518817881 0.109121161754967 -0.681870468642384 -0.68164048586755 -0.590991849748146 -0.0893136161868874 -0.0425862875824503 -0.0526464544800662 -0.762131721125828 -0.777273953377483 -0.74307486486755 -0.514351495518695 -0.558553663022053 -0.514351495518695 -0.558553663022053 -0.625037958286755 -0.608307841072185 -0.559699267360596 -0.671112986324503 -0.765206576258278 -0.787623443576159 -0.586121316144702 -0.604837531450331 -0.604253974992152 -0.558703918124172 -0.583772427678808 -0.519724066156225 -0.62496658113245 -0.691444683092715 -0.709081344215232 -0.579243720666424 -0.67174583036755 -0.745265608344371 -0.644506650274834 -0.693418095129139 -0.612579276858609 -0.696182805344371 -0.679012558837748 -0.623678382512583 -0.558350873602649 -0.629786118572848 -0.609949841595695 -0.609400852778146 -0.705986592450331 -0.706047228791391 -0.788285879536424 -0.802153773642384
"6" 6 "WALKING" 1 0.275042797273846 -0.0168093392016199 -0.108409086814154 -0.510128573575385 -0.486878513257231 -0.586052136814 0.707761599821538 -0.104693219396 0.137178353303314 -0.964313509076923 -0.959879794615385 -0.935392088553846 0.0807323294781538 0.0114880819608923 -0.0142456173754462 -0.501795241692308 -0.521211255673323 -0.723023045436923 -0.0287583938594154 -0.0875113831859477 0.0950050346958462 -0.670678473719077 -0.588571805529846 -0.569149346469538 -0.103478884724308 -0.0406704250256923 -0.0572158592798769 -0.690728511476923 -0.756803758338462 -0.670537021953846 -0.476163421094954 -0.528165792472542 -0.476163421094954 -0.528165792472542 -0.551206842685443 -0.503793238930462 -0.511925154331077 -0.612476400146215 -0.722216308369231 -0.757399880892308 -0.501889554318769 -0.478471901015077 -0.623615233151385 -0.514437150358769 -0.525029321116369 -0.600955628644308 -0.5207041284292 -0.537856933631938 -0.693578145957846 -0.527184561914892 -0.536422391397231 -0.751734223138461 -0.612632741808954 -0.637432284753846 -0.542725780135692 -0.690927312132308 -0.567782878507692 -0.618184984308308 -0.500827790827077 -0.618529071401538 -0.491104087880615 -0.525483496100831 -0.650943584433846 -0.65530880072 -0.756676325969231 -0.776057459384615
"7" 7 "WALKING" 1 0.274661355746753 -0.0189336575037662 -0.10591141896461 -0.619517464190909 -0.531172222291558 -0.702619841277597 0.690698732659091 0.0134665297691558 0.0280333891303247 -0.970439121590909 -0.958708554642857 -0.943727790324675 0.0682110798957792 0.0067051429934513 -0.000902418027314934 -0.61811287462013 -0.593561324171396 -0.804593774090909 -0.0513731823616883 -0.0639810375404545 0.0917670294025 -0.738831345696753 -0.726128031681818 -0.706039378853896 -0.0762908096451299 -0.0431386198038961 -0.0567485422286688 -0.718599483438312 -0.794205683435065 -0.772200352704545 -0.584517068682792 -0.598248040973052 -0.584517068682792 -0.598248040973052 -0.654244834637662 -0.598953907935065 -0.645076604907792 -0.689379467346234 -0.774663163149351 -0.77221546325974 -0.620860360288312 -0.542460623327078 -0.73918927937987 -0.619994582287987 -0.556509218965909 -0.708001937056169 -0.635824714149351 -0.615748851001299 -0.78974770238961 -0.634439897906169 -0.597426575325519 -0.818254191006494 -0.674374050187987 -0.734739604707792 -0.690675436944805 -0.760527900574675 -0.725572490061688 -0.740603763344156 -0.584901370133766 -0.669875143783117 -0.595936499597078 -0.604924886245779 -0.716378855696753 -0.727150545678571 -0.775719040327922 -0.784206279542208
"8" 8 "WALKING" 1 0.275715652727273 -0.0190906537192929 -0.113822917262626 -0.494721575506061 -0.349773632405556 -0.349299053552525 0.899032015656566 -0.259603777575758 -0.178358029262626 -0.963356020606061 -0.945217517272727 -0.925589256060606 0.0836472850111111 -0.00642849653787879 -0.025902894179798 -0.540399997282828 -0.508083528393939 -0.590802088121212 -0.0823081857905051 -0.0431833689181818 0.124232315559394 -0.650954793333333 -0.458701679343434 -0.504933043878788 -0.079469668779798 -0.0490180944575758 -0.0599786530808081 -0.702382791010101 -0.524711525161616 -0.696362066969697 -0.389244594740404 -0.456862217767677 -0.389244594740404 -0.456862217767677 -0.523506669171717 -0.495162159391919 -0.41785559780202 -0.508062956010101 -0.593820342484848 -0.558910914267677 -0.511821873989899 -0.391527136317172 -0.426084190114141 -0.489244192515151 -0.371563648317172 -0.362208311024747 -0.565843745039394 -0.536382974010101 -0.569645514408081 -0.555242417505051 -0.510521482350505 -0.610556398888889 -0.603805527474747 -0.436961481445455 -0.520446079888889 -0.66864449 -0.478461341051515 -0.547079595656566 -0.450446745958586 -0.546330273434343 -0.483334347236364 -0.514319268381414 -0.504543042282828 -0.602705960707071 -0.548753480443434 -0.605210673217172
"9" 8 "WALKING_UPSTAIRS" 2 0.278027471576923 -0.0163460175308242 -0.111203852862637 -0.671638252142857 -0.469183908441209 -0.725995995483516 0.74091512 0.0293738387967033 0.101652694790714 -0.976537378956044 -0.960617357087912 -0.95811435478022 0.0761162834510714 0.00806286435321429 -0.00033819792087912 -0.674163401917033 -0.58239277313956 -0.812391466703297 -0.054022200884 -0.0559588080913187 0.0802321315056593 -0.727304993368132 -0.753335 -0.699208799021978 -0.0896132354763736 -0.0428396936148352 -0.0568635978417582 -0.716599510945055 -0.849131805164835 -0.701450501862637 -0.601035932941209 -0.653969989041209 -0.601035932941209 -0.653969989041209 -0.670503658673626 -0.655795554881703 -0.652742767521978 -0.702916070956044 -0.782809768681319 -0.814941183351648 -0.684395649187363 -0.518338754807692 -0.746670152664835 -0.66794569528022 -0.478956320807143 -0.738630461862637 -0.692367803804945 -0.618031547717582 -0.794807268548352 -0.684907080424247 -0.57175070979011 -0.828853549725275 -0.66722284802033 -0.774595661593407 -0.65355921343956 -0.747726633076923 -0.745747853131868 -0.74469660510989 -0.64541844928022 -0.71374898010989 -0.655943076506593 -0.658659795143132 -0.734324963120879 -0.734326869598901 -0.819451430824176 -0.822477940934066
"10" 9 "STANDING" 5 0.274979076995139 -0.0207759603306597 -0.111328108353819 -0.668864530777778 -0.495600545380347 -0.572702429905903 0.727805375902778 0.00129353673263889 0.204654276861458 -0.948520706805556 -0.905351920451389 -0.901854817083333 0.0749851117830903 0.0136316382162847 0.00182789798558681 -0.735207359986111 -0.692971981917708 -0.789338707987153 -0.00334902093680556 -0.0819023152127431 0.0877694352244097 -0.696105010854167 -0.69905608553125 -0.676672512494444 -0.109053410195069 -0.0395245065355208 -0.0581281307468403 -0.758028882326389 -0.826778659364583 -0.805554203472222 -0.542945064159722 -0.617931508225694 -0.542945064159722 -0.617931508225694 -0.723704863989583 -0.717612334972222 -0.594600172620139 -0.662352964007639 -0.797738860298611 -0.817286700385417 -0.689166884092014 -0.562689471503472 -0.651575080456597 -0.662736588742708 -0.496414722464687 -0.567616674443993 -0.739977325761458 -0.703131530392014 -0.769209230513889 -0.754840787486111 -0.70388239540625 -0.808290771449653 -0.667725986256944 -0.73358964478125 -0.686168454190278 -0.708333851375 -0.685383074350694 -0.704066605775347 -0.637507761954861 -0.669644582552431 -0.709153137194444 -0.731059915399306 -0.710342827170139 -0.693905785173958 -0.814394972006944 -0.83504378934375
